word,meaning_bn,meaning_en,example,part_of_speech,phonetic,level
attach,সংযুক্ত করা,"To fasten, to join to (literally and figuratively).","An officer is attached to a certain regiment, company, or ship.",verb,/əˈtætʃ/,
attached,সংযুক্ত,"To fasten, to join to (literally and figuratively).","An officer is attached to a certain regiment, company, or ship.",verb,/əˈtætʃt/,
attack,আক্রমণ,"An attempt to cause damage, injury to, or death of opponent or enemy.",,noun,/əˈtæk/,
attempt,প্রচেষ্টা,The action of trying at something.,It was worth the attempt.,noun,/əˈtɛmpt/,
attempted,চেষ্টা করেছে,To try.,"A group of 80 budding mountaineers attempted Kilimanjaro, but 30 of them didn't make it to the top.",verb,/əˈtɛmptɪd/,
attend,অংশগ্রহণ,To listen to (something or someone); to pay attention to; regard; heed.,,verb,/əˈtɛnd/,
attention,মনোযোগ,Mental focus.,Please direct your attention to the following words.,noun,/əˈtɛn.ʃən/,
attitude,মনোভাব,The position of the body or way of carrying oneself.,The ballet dancer walked with a graceful attitude.,noun,/ˈætɪˌtjuːd/,
attorney,অ্যাটর্নি,A lawyer; one who advises or represents others in legal matters as a profession.,,noun,/əˈtɜː(ɹ)ni/,
attract,আকর্ষণ,To pull toward without touching.,A magnet attracts iron filings.,verb,/əˈtɹækt/,
attraction,আকর্ষণ,The tendency to attract.,The Moon is held in its orbit by the attraction of the Earth's gravity.,noun,/əˈtɹækʃən/,
attractive,আকর্ষণীয়,Causing attraction; having the quality of attracting by inherent force.,,adjective,/əˈtɹæktɪv/,
audience,দর্শক,"A group of people within hearing; specifically, a large gathering of people listening to or watching a performance, speech, etc.",We joined the audience just as the lights went down.,noun,/ˈɔːdi.əns/,
aunt,খালা,The sister or sister-in-law of one’s parent.,,noun,/ɑ(ː)nt/,
author,লেখক,"The originator or creator of a work, especially of a literary composition.",Have you read any Corinthian authors?,noun,/ˈɔː.θə/,
authority,কর্তৃত্ব,The power to enforce rules or give orders.,"I have the authority to penalise the staff in my department, but not the authority to sack them.",noun,/ɔːˈθɒɹəti/,
automatic,স্বয়ংক্রিয়,A car with automatic transmission.,I never learned to drive a stick. I can only drive an automatic.,noun,/ˌɔːtəˈmætɪk/,
available,উপলব্ধ,Such as one may avail oneself of; capable of being used for the accomplishment of a purpose.,We have an available candidate.,adjective,/əˈveɪləb(ə)l/,
average,গড়,The arithmetic mean.,"The average of 10, 20 and 24 is (10 + 20 + 24)/3 = 18.",noun,/ˈævəɹɪd͡ʒ/,
avoid,এড়ানো,To try not to meet or communicate with (a person); to shun,,verb,/əˈvɔɪd/,
awake,জাগ্রত,Not asleep; conscious.,,adjective,/əˈweɪk/,
award,পুরস্কার,"A judgment, sentence, or final decision. Specifically: The decision of arbitrators in a case submitted.",,noun,/əˈwɔːd/,
aware,সচেতন,Vigilant or on one's guard against danger or difficulty.,Stay aware! Don't let your guard down.,adjective,/əˈweːɹ/,
away,দূরে,To depart; to go to another place.,At 9 o'clock sharp he awayed to bed.,verb,/əˈweɪ/,
awful,ভয়ঙ্কর,Very bad.,My socks smell awful.,adjective,/ˈɔːfəl/,
awkward,বিশ্রী,Someone or something that is awkward.,,noun,,
baby,শিশু,"A very young human, particularly from birth to a couple of years old or until walking is fully mastered.",,noun,/ˈbeɪbi/,
back,ফিরে,"The rear of the body, especially the part between the neck and the end of the spine and opposite the chest and belly.",Could you please scratch my back?,noun,/bæk/,
background,পটভূমি,"One's social heritage, or previous life; what one did in the past.",The lawyer had a background in computer science.,noun,/ˈbæk.ɡɹaʊnd/,
backward,পশ্চাদপদ,The state behind or past.,,noun,,
bacteria,ব্যাকটেরিয়া,"A type, species, or strain of bacterium.",,noun,/bækˈtɪəɹ.ɪ.ə/,
bad,খারাপ,"Error, mistake.",,noun,/bæːd/,
badly,খারাপভাবে,"Ill, unwell.",He's never badly.,adjective,/ˈbæd.li/,
bag,ব্যাগ,"A flexible container made of cloth, paper, plastic, etc.",,noun,/ˈbæːɡ/,
baggage,লাগেজ,(usually uncountable) Luggage; traveling equipment,Please put your baggage in the trunk.,noun,/ˈbæɡɪdʒ/,
bake,বেক,The act of cooking food by baking.,,noun,/beɪk/,
balance,ভারসাম্য,A state in which opposing forces harmonise; equilibrium.,,noun,/ˈbæləns/,
ball,বল,"A solid or hollow sphere, or roughly spherical mass.",a ball of spittle; a fecal ball,noun,/bɔːl/,
ban,নিষেধাজ্ঞা,Prohibition.,,noun,/bæn/,
band,ব্যান্ড,A strip of material used for strengthening or coupling.,,noun,/bænd/,
bandage,ব্যান্ডেজ,A strip of gauze or similar material used to protect or support a wound or injury.,,noun,/ˈbændɪdʒ/,
bank,ব্যাংক,An institution where one can place and borrow money and take care of financial affairs.,,noun,/bæŋk/,
bar,বার,"A solid, more or less rigid object of metal or wood with a uniform cross-section smaller than its length.",The window was protected by steel bars.,noun,/bɑː/,
barely,সবে,(degree) By a small margin.,,adverb,/ˈbɛə(ɹ).li/,
bargain,দর কষাকষি,"An agreement between parties concerning the sale of property; or a contract by which one party binds himself to transfer the right to some property for a consideration, and the other party binds himself to receive the property and pay the consideration.",,noun,/-ɡɪn/,
barrier,বাধা,A structure that bars passage.,,noun,/ˈbæɹi.ə(ɹ)/,
base,ভিত্তি,Something from which other things extend; a foundation.,,noun,/beɪs/,
baseball,বেসবল,"A sport common in North America, the Caribbean, and Japan, in which the object is to strike a ball so that one of a nine-person team can run counter-clockwise among four bases, resulting in the scoring of a run. The team with the most runs after termination of play, usually nine innings, wins.",,noun,/ˈbeɪs.bɔːl/,
basic,মৌলিক,"A necessary commodity, a staple requirement.",Rice is a basic for many Asian villagers.,noun,/ˈbeɪsɪk/,
basically,মূলত,"In a fundamental, essential or basic manner","They've added some fancy features, but it's basically still a car.",adverb,/ˈbeɪsɪk(ə)li/,
basis,ভিত্তি,A physical base or foundation.,,noun,/ˈbeɪsɪs/,
basketball,বাস্কেটবল,A sport in which two opposing teams of five players strive to put a ball through a hoop.,,noun,/ˈbɑːs.kɪt.bɔːl/,
bath,স্নান,A tub or pool which is used for bathing: bathtub.,,noun,/bɐːθ/,
bathroom,বাথরুম,"A room containing a shower and/or bathtub, and (typically but not necessarily) a toilet.",,noun,/ˈbæθ.ɹuːm/,
battery,ব্যাটারি,"A device used to power electric devices, consisting of a set of electrically connected electrochemical or, archaically, electrostatic cells. A single such cell when used by itself.",,noun,/ˈbætəɹi/,
battle,যুদ্ধ,"A contest, a struggle.",the battle of life,noun,/ˈbætəl/,
bay,উপসাগর,A berry.,,noun,/beɪ/,
be,হতে,,,,,
beach,সৈকত,"The shore of a body of water, especially when sandy or pebbly.",,noun,/biːt͡ʃ/,
beak,চঞ্চু,Anatomical uses.,,noun,/biːk/,
bear,ভালুক,"A large omnivorous mammal, related to the dog and raccoon, having shaggy hair, a very small tail, and flat feet; a member of family Ursidae.",,noun,/bɛə(ɹ)/,
beard,দাড়ি,"Facial hair on the chin, cheeks, jaw and neck.",,noun,/bɪəd/,
beat,বীট,A stroke; a blow.,,noun,/biːt/,
beautiful,সুন্দর,Someone who is beautiful. Can be used as a term of address.,"Hey, beautiful!",noun,/ˈbjuːtɪfəl/,
beautifully,সুন্দরভাবে,In a beautiful manner.,,adverb,/ˈbjuːtɪf(ə)li/,
beauty,সৌন্দর্য,"The quality of being (especially visually) attractive, pleasing, fine or good-looking; comeliness.","1988, ""… beauty and recollection, like danger, glamour, greed, hunger- everything but disappointment and desire- were concepts belonging to other people.” -Second Son, Robert Ferro",noun,/ˈbuːti/,
because,কারণ,For the reason (that).,,adverb,/bɪˈkɒz/,
become,হয়ে,"To arrive, come (to a place).",,verb,/bəˈkʊm/,
bed,বিছানা,"A piece of furniture, usually flat and soft, on which to rest or sleep.","My cat often sleeps on my bed.
I keep a glass of water next to my bed when I sleep.",noun,/bed/,
bedroom,শয়নকক্ষ,A room in a house where a bed is kept for sleeping.,Please don't enter my bedroom without knocking.,noun,/ˈbɛdɹʊm/,
beef,গরুর মাংস,"The meat from a cow, bull or other bovine.",I love eating beef.,noun,/biːf/,
beer,বিয়ার,"An alcoholic drink fermented from starch material, commonly barley malt, often with hops or some other substance to impart a bitter flavor.",Beer is brewed all over the world.,noun,/bɛə/,
before,আগে,At an earlier time.,I've never done this before.,adverb,/bɪˈfɔː/,
begin,শুরু,Beginning; start.,,noun,/biˈɡɪn/,
beginning,শুরু,"The act of doing that which begins anything; commencement of an action, state, or space of time; entrance into being or upon a course; the first act, effort, or state of a succession of acts or states.",,noun,/bɪˈɡɪn.ɪŋ/,
behalf,পক্ষ থেকে,,,,,
behave,আচরণ,"To conduct (oneself) well, or in a given way.","You need to behave yourself, young lady.",verb,/bəˈheɪv/,
behavior,আচরণ,Human conduct relative to social norms.,,noun,[bɪˈheɪvjə],
behind,পিছনে,"The rear, back-end",,noun,/bəˈhaɪnd/,
belief,বিশ্বাস,Mental acceptance of a claim as true.,It's my belief that the thief is somebody known to us.,noun,/bəˈliːf/,
believe,বিশ্বাস,"To accept as true, particularly without absolute certainty (i.e., as opposed to knowing)",I believe there are faeries.,verb,/bɪˈliːv/,
bell,ঘণ্টা,"A percussive instrument made of metal or other hard material, typically but not always in the shape of an inverted cup with a flared rim, which resonates when struck.",,noun,/bɛl/,
belong,অন্তর্গত,To have its proper place.,Where does this document belong?,verb,/bɪˈlɒŋ/,
below,নীচে,In a lower place.,,adverb,/bɪˈləʊ/,
belt,বেল্ট,"A band worn around the waist to hold clothing to one's body (usually pants), hold weapons (such as a gun or sword), or serve as a decorative piece of clothing.","As part of the act, the fat clown's belt broke, causing his pants to fall down.",noun,/bɛlt/,
bend,বাঁক,A curve.,There's a sharp bend in the road ahead.,noun,/bɛnd/,
beneath,নিচে,Below or underneath.,,adverb,/bɪˈniːθ/,
benefit,সুবিধা,An advantage; help or aid from something.,It was for her benefit.   His benefit was free beer.,noun,/ˈbɛn.ɪ.fɪt/,
bent,বাঁকানো,"To cause (something) to change its shape into a curve, by physical force, chemical action, or any other means.",Don’t bend your knees.,verb,/bɛnt/,
beside,পাশে,Otherwise; else.,,adverb,/bɪˈsaɪd/,
best,সেরা,"The supreme effort one can make, or has made.",I did my best.,noun,/ˈbɛst/,
bet,বাজি,"A wager, an agreement between two parties that a stake (usually money) will be paid by the loser to the winner (the winner being the one who correctly forecast the outcome of an event).",Dylan owes Fletcher $30 from an unsuccessful bet.,noun,/ˈbɛt/,
